Exit_circ	V	Feed	Fz	Fc	Mz
3	3	3	3	3	3
1	1500	20	58,23	26,38	131,9
1	1500	60	77,5	39,36	196,8
1	1500	100	78,5	53,1	265,5
1	1500	200	103	64,06	320,31
2	1500	600	370	141,3	706,5
1	1500	800	570	164,78	823,9
1	5000	20	54,26	20,76	103,8
1	5000	60	58,96	34,72	173,6
1	5000	100	60	44,95	224,75
1	5000	200	98	63,06	315,3
2	5000	800	461,4	140,82	704,1
1	8500	20	47	17,34	86,7
1	8500	100	67	43,53	217,66
1	8500	200	93	50,84	254,2
2	8500	400	162	87,16	435,8
1	8500	600	260	99,46	497,3
2	8500	800	310	118,36	591,8
2	12000	20	36,5	14,72	73,6
1	12000	60	43,5	21,98	109,9
1	12000	100	62,3	38,2	191
1	12000	200	90	53,1	265,5
1	12000	400	154	73,04	365,2
1	12000	600	182,5	75,86	379,3
2	12000	800	184	96,6	483
2	15000	20	30,43	13,1	65,5
1	15000	60	48	25,56	127,8
1	15000	100	50	31,91	159,53
1	15000	200	103	58,58	292,9
1	15000	600	145,5	87,92	439,6
1	15000	800	147	76,02	380,11
